has,prefers,count
Dawes,Lincolnwood,3
Dawes,Oakton,8
Dawes,Dawes,11
Dawes,Washington,0
Dawes,Lincoln,2
Dawes,Willard,2
Dawes,Kingsley,7
Dawes,Walker,7
Dawes,Orrington,0
Dawes,Dewey,2
Dewey,Lincolnwood,6
Dewey,Oakton,12
Dewey,Dawes,2
Dewey,Washington,2
Dewey,Lincoln,26
Dewey,Willard,4
Dewey,Kingsley,12
Dewey,Walker,5
Dewey,Orrington,8
Dewey,Dewey,120
Kingsley,Lincolnwood,0
Kingsley,Oakton,0
Kingsley,Dawes,0
Kingsley,Washington,0
Kingsley,Lincoln,0
Kingsley,Willard,0
Kingsley,Kingsley,133
Kingsley,Walker,1
Kingsley,Orrington,0
Kingsley,Dewey,0
Lincoln,Lincolnwood,3
Lincoln,Oakton,4
Lincoln,Dawes,2
Lincoln,Washington,6
Lincoln,Lincoln,100
Lincoln,Bessie Rhodes,0
Lincoln,Willard,3
Lincoln,Kingsley,0
Lincoln,Walker,2
Lincoln,Orrington,0
Lincoln,Dewey,1
Lincolnwood,Lincolnwood,96
Lincolnwood,Oakton,0
Lincolnwood,Dawes,1
Lincolnwood,Washington,0
Lincolnwood,Lincoln,0
Lincolnwood,Willard,1
Lincolnwood,Kingsley,8
Lincolnwood,Walker,0
Lincolnwood,Orrington,1
Lincolnwood,Dewey,0
Oakton,Lincolnwood,3
Oakton,Oakton,12
Oakton,Dawes,13
Oakton,Washington,0
Oakton,Lincoln,18
Oakton,Willard,6
Oakton,Kingsley,4
Oakton,Walker,5
Oakton,Orrington,1
Oakton,Dewey,0
Orrington,Lincolnwood,2
Orrington,Oakton,5
Orrington,Dawes,0
Orrington,Washington,2
Orrington,Lincoln,1
Orrington,Willard,6
Orrington,Kingsley,9
Orrington,Walker,1
Orrington,Orrington,98
Orrington,Dewey,12
Walker,Lincolnwood,3
Walker,Oakton,36
Walker,Dawes,9
Walker,Washington,3
Walker,Lincoln,4
Walker,Willard,1
Walker,Kingsley,0
Walker,Walker,120
Walker,Orrington,0
Walker,Dewey,1
Washington,Lincolnwood,10
Washington,Oakton,10
Washington,Dawes,4
Washington,Washington,3
Washington,Lincoln,15
Washington,Willard,11
Washington,Kingsley,5
Washington,Walker,6
Washington,Orrington,0
Washington,Dewey,4
Willard,Lincolnwood,23
Willard,Oakton,0
Willard,Dawes,0
Willard,Washington,3
Willard,Lincoln,0
Willard,Willard,89
Willard,Kingsley,22
Willard,Walker,4
Willard,Orrington,2
Willard,Dewey,0
